,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour general,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,Fed liquidity
31/05/2006,28.77024291,36.71875,57.91666667,50.38377193,32.17516447,48.81666667,63.04824561,35.52631579,63.69517544,73.14379699,67.01229977,22.42708333,76.74074074,62.83891547,53.64444444,76.63208502,45.33333333,49.96996997,72.18045113,34.77777778,35.79259259,80.71428571,44.41666667,63.93333333,44.96969697
30/06/2006,31.49350649,28.97727273,55.19462719,51.38888889,55.4586039,40.67434211,52.92207792,31.89197166,61.85606061,68.83116883,63.46696781,21.58717105,35.5994152,58.10704447,59.78070175,80.47577423,58.69883041,56.32408725,59.36920223,50.60307018,36.04897661,83.23308271,29.57785088,65.52631579,49.40191388
31/07/2006,30.1035503,23.71794872,54.50487013,51.95868946,46.97516026,38.13311688,55.34188034,35.02331002,52.28098291,64.90384615,62.06103679,18.60795455,40.90909091,57.80885781,55.8008658,75.06780079,56.45743146,58.02035802,45.78754579,51.56926407,36.91197691,83.79406308,28.93668831,68.57142857,29.51593861
31/08/2006,36.81840312,22.23101266,49.31891026,38.62517581,43.47310127,46.45833333,40.71729958,36.95339471,54.87341772,63.16681736,61.52311502,13.36137821,32.12250712,58.91829689,53.71794872,65.71324245,57.65669516,56.86070686,65.46112116,29.16666667,36.78774929,81.98717949,33.26655983,69.23076923,35.69347319
30/09/2006,42.80048077,20.78125,61.69567511,50.20833333,45,32.8164557,41.14583333,61.19318182,62.63541667,62.1875,64.59918478,13.46914557,33.05203938,54.33712121,49.49367089,57.12139423,47.96061885,55.6562892,30.77380952,46.99367089,33.95218003,78.11030741,35.2056962,59.15913201,39.52819333
31/10/2006,54.76020893,18.0941358,55.6640625,46.50205761,37.7507716,62.75,30.24691358,72.02581369,65.97736626,59.76631393,60.80246914,16.796875,35.34722222,52.20725776,48.75,55.31220323,44.13194444,44.59459459,22.8101117,20.41666667,32.54166667,69.86607143,35.53385417,56.44642857,32.27272727
30/11/2006,51.65337711,19.47408537,50.64300412,43.68224932,56.25,50.40123457,28.7601626,71.90964523,63.1504065,61.07360627,64.49496288,15.92399691,30.79561043,68.16334072,43.33333333,50.84427767,50.56584362,41.59159159,17.79907085,13.3744856,31.79012346,69.72663139,35.62242798,52.49559083,32.60381594
31/12/2006,50.60240964,28.91566265,42.44156504,40.24431058,37.01054217,54.51219512,39.55823293,64.08817087,61.60140562,62.7151463,65.84599267,25.16196646,25.67750678,64.00146039,44.18699187,53.168443,43.90243902,36.98637662,35.25530694,22.96747967,33.56368564,69.79094077,45.80792683,49.03310105,32.15077605
31/01/2007,55.48305861,35.04464286,60.09036145,60.43320106,58.09151786,34.75903614,42.65873016,71.49621212,58.93849206,66.45408163,68.44591097,37.71649096,50.0669344,65.67460317,54.41767068,55.88369963,49.28045515,38.20688158,37.75510204,30.57228916,43.89892905,73.17555938,45.75803213,47.12564544,42.1686747
28/02/2007,56.57239819,32.27941176,52.07093254,61.04575163,41.72794118,40.49107143,49.60784314,67.5802139,61,61.09243697,64.79539642,30.59895833,47.15608466,46.84491979,56.94444444,56.64027149,42.75793651,46.91655942,26.55462185,38.74007937,45.33068783,66.37755102,45.80853175,48.30782313,47.9978355
31/03/2007,46.93649374,32.68531977,68.88480392,54.00516796,48.51017442,45.70588235,39.8255814,46.33985201,59.71414729,62.28197674,63.65015167,30.51470588,36.79738562,50.98661029,61.84313725,54.64557245,41.2745098,56.20031797,37.90143965,45.88235294,44,65.40336134,45,50.5210084,42.2459893
30/04/2007,42.48452697,46.08477011,60.64680233,62.14878672,51.14942529,44.59302326,35.91954023,35.553814,50.37835249,53.72536946,62.30634683,25.11809593,55.74935401,48.85057471,62.13178295,52.71330681,55.02260982,58.32285774,55.52818829,56.25,45.62015504,63.34717608,49.39437984,48.67109635,42.81183932
31/05/2007,50.85227273,55.62855114,76.30507663,57.05492424,41.74360795,34.38218391,46.875,47.86931818,54.3844697,56.98051948,63.15464427,30.94468391,17.81609195,46.47038567,55.21072797,57.22792832,38.29821201,60.41731387,52.75974026,65.3256705,45.6449553,66.94581281,50.09578544,47.55336617,36.8861024
30/06/2007,51.01555748,57.86516854,68.14630682,66.27652934,53.05477528,43.125,28.74531835,40.9473953,47.17228464,54.35393258,59.14142648,23.10014205,35.66919192,44.02451481,53.97727273,63.596586,45.59659091,55.86097461,46.17442483,62.12121212,44.26767677,67.28084416,53.48011364,49.96753247,34.96900826
31/07/2007,47.69230769,42.95138889,59.21114232,54.56790123,26.35416667,44.60674157,29.90740741,60.17676768,48.66666667,52.41071429,53.04951691,24.09585674,39.95006242,41.34680135,46.70411985,65.8707265,42.79026217,56.3670412,60.42328042,56.41385768,44.36953808,70.91492777,51.36938202,54.68699839,36.51685393
31/08/2007,34.80557904,55.21978022,53.55324074,55.87606838,37.5,49.625,37.27106227,36.81318681,43.85531136,43.6911303,50.63306259,17.66493056,30.80246914,55.27805528,45.66666667,59.41462384,47.20679012,56.78178178,40.68550497,62.5462963,44.7654321,71.16666667,49.79166667,53.3968254,32.82828283
30/09/2007,36.8833612,59.90149457,44.64285714,63.87379227,38.6548913,41.75824176,41.57608696,32.02816206,43.80434783,44.12849379,53.44990548,15.08413462,38.64468864,53.7055336,53.003663,52.71216555,59.05067155,53.37590338,44.22877847,38.94230769,39.26434676,70.47880691,45.53571429,50.21978022,33.91608392
31/10/2007,29.90074442,58.06451613,48.98097826,34.91636798,51.88172043,44.18478261,43.01075269,20.55229717,40.90949821,45.99654378,53.86278635,13.22180707,25.9057971,53.45389378,57.2826087,48.10794045,52.7173913,55.56698002,38.4280594,56.45380435,28.93417874,66.00931677,44.81431159,41.73136646,51.92687747
30/11/2007,26.41162029,51.13031915,39.38172043,39.81973995,42.96875,42.12365591,52.83687943,14.14410058,39.2287234,51.75721884,55.68917669,23.33669355,26.28434886,46.56673114,55.8781362,42.55319149,54.28614098,60.71393975,61.98074975,67.60752688,29.43847073,59.07834101,44.15322581,37.25038402,43.84164223
31/12/2007,25.27327935,47.5,50.79787234,37.39766082,42.23684211,33.01861702,42.54385965,19.97607656,33.10087719,48.47744361,55.39473684,27.59308511,58.80614657,46.523126,64.92907801,44.12449393,58.03782506,69.48917002,69.49874687,80.67375887,34.43853428,53.32066869,41.97695035,33.60942249,37.3549323
31/01/2008,27.28365385,67.54557292,45.14254386,34.86689815,41.06445313,51.55263158,37.5,18.72632576,34.53993056,44.99627976,54.7044837,16.82565789,33.4502924,49.92108586,61.64912281,36.40825321,70.90643275,68.47321005,56.07638889,77.25877193,36.34502924,60.65413534,41.83114035,31.42857143,34.97607656
29/02/2008,21.33227597,63.04768041,47.74305556,50.3722795,44.3943299,26.58854167,17.61168385,15.07731959,34.77233677,40.85051546,51.26064545,21.20768229,24.76851852,51.81193377,57.67361111,42.28786677,59.78009259,72.33014264,56.50466372,79.38368056,34.95949074,49.27827381,42.91449653,16.91964286,53.92992424
